70.0,24.0,0.8357688,1.1881014,2.0238702,12.388615,97.66701
65.0,28.0,0.8766122,1.5116936,2.3883057,13.476734,95.92997
69.0,28.0,0.84690315,1.3721993,2.2191024,17.731613,98.48202
69.0,39.0,0.83329064,1.4125184,2.245809,23.56218,97.30119
70.0,24.0,0.82943684,1.4635936,2.2930305,11.157017,97.15166
69.0,20.0,0.86869067,1.3112681,2.1799588,15.123474,99.984665
66.0,36.0,0.8842755,1.3904812,2.2747567,16.72411,97.82894
72.0,27.0,0.8222913,1.2403765,2.0626678,17.549446,99.56367
69.0,20.0,0.85240537,1.4211607,2.273566,14.17487,99.00896
67.0,24.0,0.87450767,1.4568516,2.3313594,16.22446,98.29004
63.0,15.0,0.9244409,1.325981,2.250422,10.711864,98.00805
69.0,31.0,0.8625466,1.3316699,2.1942165,20.0197,99.93794
69.0,37.0,0.85471463,1.2908074,2.145522,17.715893,99.71695
71.0,37.0,0.8360076,1.486338,2.3223457,19.948013,99.55399
70.0,32.0,0.8397622,1.1389408,1.978703,19.70382,98.90056
70.0,33.0,0.84925216,1.3538226,2.2030747,21.761547,99.35939
68.0,52.0,0.8714775,1.2903969,2.1618743,23.68071,99.20165
69.0,39.0,0.8545927,1.4584744,2.313067,18.994774,98.587715
70.0,32.0,0.8459802,1.3380661,2.1840463,22.023056,99.41633
72.0,23.0,0.82158846,1.3141943,2.1357827,15.135803,98.67592
67.0,32.0,0.8812689,1.2870731,2.168342,18.381168,99.16843
68.0,19.0,0.8296375,1.3193065,2.148944,12.317963,94.8824
67.0,45.0,0.8562621,1.3079026,2.1641645,21.703342,97.059875
69.0,32.0,0.83721745,1.287784,2.1250014,20.941383,97.50255
68.0,33.0,0.871315,1.4494923,2.3208075,23.581963,99.167816
